title,key,style,tempo,checked,audio_produced,chords,marked_,turnaround,composers
Look For The Silver Lining,B-,,,,,"Bb^7, F7, Bb^7, F7, Dm7, Cm7, F7, Bb^7, Gm7, Cm7, F7, Bb^7, Bb^7, Gm7, F#7, F7, Cm7, F7, Bb^7, F7, Bb^7, F7, Fm7, Bb7, Eb^7, Eb7, Gm7, Em7, A7, Dm7, G7, Cm7, F7, Bb^7, F7",|Bb^7|F7|Bb^7|F7|Dm7|Cm7 F7|Bb^7|Gm7|Cm7|F7|Bb^7|Bb^7|Gm7|F#7|F7|Cm7 F7|Bb^7|F7|Bb^7|F7|Fm7|Bb7|Eb^7|Eb7|Gm7|Em7 A7|Dm7|G7|Cm7|F7|Bb^7|F7|,1,"Kern, Jerome"
Mac The Knife,B-,,,,,"Bb6, Bb6, Cm7, Cm7, F7, F7, Bb6, Bb6, Gm7, Gm7, Cm7, Cm7, Cm7, Cm7, F7, Bb6, Bb6",|Bb6|Bb6|Cm7|Cm7|F7|F7|Bb6|Bb6|Gm7|Gm7|Cm7|Cm7|Cm7|Cm7 F7|Bb6|Bb6|,0,"Weill, Kurt"
Minor Mood,f,,,,,"Fm7, Bbm6, C7, Fm7, Bb7, Bbm7, Bbm7, Eb7, G%7, C7, Fm7, Fm7, Db7, Db7, C7, Fm^7, C7, Fm7, G%7, C7, Fm7, C%7, F7, Bbm7, Bbm7, C7, C7, G%7, Ab^7, G%7, C7, Fm^7, Fm^7",|Fm7|Bbm6 C7|Fm7|Bb7|Bbm7|Bbm7 Eb7|G%7 C7|Fm7|Fm7 Db7|Db7 C7|Fm^7|C7|Fm7|G%7 C7|Fm7|C%7 F7|Bbm7|Bbm7 C7|C7 G%7|Ab^7|G%7|C7|Fm^7|Fm^7|,0,"Brown, Clifford"
Minor Strain,G,,,,,"Dm7, Dm7, Dm7, Dm7, Cm7, Cm7, Cm7, Cm7, Gm7, Gm7, Bbm7, Eb7, Am7, Dm7, G^, Am7, Bbo7, Bm7",|Dm7|Dm7|Dm7|Dm7|Cm7|Cm7|Cm7|Cm7|Gm7|Gm7|Bbm7|Eb7|Am7|Dm7|G^ Am7|Bbo7 Bm7|,4,"Timmons, Bobby"
Move,B-,,,,,"Bb6, Eb7, Bb6, Bo7, Cm7, F7, Bb6, Bb6, Bb6, Eb7, Bb6, Bo7, Cm7, F7, Bb6, Bb6, Fm7, Bb7, Eb6, Eb6, C7, C7, Cm7, F7, Bb6, Eb7, Bb6, Bo7, Cm7, F7, Bb6, Bb6",|Bb6|Eb7|Bb6|Bo7|Cm7|F7|Bb6|Bb6|Bb6|Eb7|Bb6|Bo7|Cm7|F7|Bb6|Bb6|Fm7|Bb7|Eb6|Eb6|C7|C7|Cm7|F7|Bb6|Eb7|Bb6|Bo7|Cm7|F7|Bb6|Bb6|,0,"Best, Denzil"
Mr. P.C.,c,,,,,"Cm7, Cm7, Cm7, Cm7, Fm7, Fm7, Cm7, Cm7, Ab7, G7, Cm7, Cm7",|Cm7|Cm7|Cm7|Cm7|Fm7|Fm7|Cm7|Cm7|Ab7|G7|Cm7|Cm7|,0,"Coltrane, John"
My Ideal,E-,,,,,"Eb6, C7, Fm7, Db7, C7, F7, Fm7, Bb7, D%7, G7, Cm7, F7, B7, Bb7, Eb6, C7, Fm7, Db7, C7, F7, Fm7, Abm6, Eb^, Ab7, Gm7, C7, B7, Bb7, Eb6",|Eb6 C7|Fm7|Db7 C7|F7|Fm7 Bb7|D%7 G7|Cm7 F7|B7 Bb7|Eb6 C7|Fm7|Db7 C7|F7|Fm7 Abm6|Eb^&Ab7&Gm7&C7|B7 Bb7|Eb6|,0,"Whiting, Richard"
My Melancholy Baby,B-,,,,,"Bb^7, Bb^7, Ab7, G7, Cm7, G7, Cm7, G7, Cm7, Cm7, F7, Gbo7, Gm7, C7, Cm7, F7, Bb^7, Bb^7, Ab7, G7, Cm7, G7, Cm7, Fm7, Bb7, Eb^7, Eo7, Bb7, G7, Cm7, F7, Bb6, Bo7, Cm7, F7",|Bb^7|Bb^7|Ab7|G7|Cm7|G7|Cm7|G7|Cm7|Cm7|F7|Gbo7|Gm7|C7|Cm7|F7|Bb^7|Bb^7|Ab7|G7|Cm7|G7|Cm7|Fm7 Bb7|Eb^7|Eo7|Bb7|G7|Cm7|F7|Bb6 Bo7|Cm7 F7|,3,"Burnett, Ernie & Norton, George"
Night Dreamer,G,,,,,"G^7, Fm7, Eb^7, D7, G^7, Fm7, Eb^7, D7, G^7, Fm7, Eb^7, D7, Ebm7, Ab7, Esus, Esus, Fsus, Fsus, G^7, Fm7, Eb^7, D7, G^7, Fm7, Eb^7, D7",|G^7 Fm7|Eb^7 D7|G^7 Fm7|Eb^7 D7|G^7 Fm7|Eb^7 D7|Ebm7|Ab7|Esus|Esus|Fsus|Fsus|G^7 Fm7|Eb^7 D7|G^7 Fm7|Eb^7 D7|,3,"Shorter, Wayne"
Nothing Personal,g,,,,,"Gm, Gm, Gm, Gm, Gm, Gm, Gm, Gm, Gm, Gm, Gm, Gm, Gm, Gm, Gm, Gm, C7, C7, C7, C7, Gm, Gm, Gm, F7, E7, Eb7, Eb7, D7, D7, Gm, Gm, Gm, Gm",|Gm|Gm|Gm|Gm|Gm|Gm|Gm|Gm|Gm|Gm|Gm|Gm|Gm|Gm|Gm|Gm|C7|C7|C7|C7|Gm|Gm|Gm|F7 E7|Eb7|Eb7|D7|D7|Gm|Gm|Gm|Gm|,0,"Grolnick, Don"
Nuages,G,,,,,"Bbm6, D7, G6, G6, Bbm6, D7, G6, D7, G6, B7, B7, Em6, Em6, A7, Ab7, A7, D7, D7, Bbm6, D7, G6, G6, Ab7, G7, C^, C^, Cm6, F7, G6, G6, Bbm6, D7, G6, D7, G6",|Bbm6|D7|G6|G6|Bbm6|D7|G6 D7|G6|B7|B7|Em6|Em6|A7 Ab7|A7|D7|D7|Bbm6|D7|G6|G6|Ab7|G7|C^|C^|Cm6|F7|G6|G6|Bbm6|D7|G6 D7|G6|,0,"Reinhardt, Django"
O Grande Amor,a,,,,,"Am, Abo7, Gm7, C7, B%7, E7, Am, A7, Dm7, G7, C^7, F^7, Bb^7, Bb^7, B%7, E7, Am, Abo7, Gm7, C7, B%7, E7, E%7, A7, Dm7, Ebo7, C^, F^7, Bb^7, B%7, E7, Am, E7",|Am|Abo7|Gm7|C7|B%7|E7|Am|A7|Dm7|G7|C^7|F^7|Bb^7|Bb^7|B%7|E7|Am|Abo7|Gm7|C7|B%7|E7|E%7|A7|Dm7|Ebo7|C^|F^7|Bb^7|B%7 E7|Am|E7|,1,"Jobim, Antonio Carlos"
"Old Country, The",d,,,,,"Dm, E%7, A7, Dm, Dm, D7, Gm7, Csus, C7, F^7, F^7, E%7, A7, Dm, Dm, B7, Bb7, E%7, A7, Dm",|Dm|E%7|A7|Dm|Dm D7|Gm7|Csus C7|F^7|F^7|E%7|A7|Dm Dm|B7|Bb7|E%7 A7|Dm|,0,"Lewis, Curtis & Adderley, Cannonball"
